Variable,Coefficient,Std_Error,t_statistic,p_value
Constant,-0.3961197064407594,3605.7650020037036,-0.00010985732742445441,0.9999136253949616
ln_HighPayJobs,4.535709742415376,1.3786164094491948,3.2900447951490364,0.004321977638850116
ln_Permits_lag1,-3.9200248386419805,360.4442840356234,-0.010875536143207522,0.9914493593061768
InterestRate,-0.11148063719011887,738.835837996402,-0.00015088688373920183,0.9998813661749346
