Variable,Coefficient,Std_Error,t_statistic,p_value
const,40.14891733652411,10.665511065260365,3.7643688231028056,0.0015459320048194503
ln_HighPayJobs,-1.6416998139811971,0.5568233313068411,-2.948331583247771,0.008991245036060302
ln_Permits_lag1,-1.8114500705767933,0.39367814852916794,-4.6013477693506815,0.0002543279658091535
InterestRate,0.06502722314525451,0.019672345335814505,3.3055145197593263,0.004180034015039746
Entity_20171_Herndon City,-0.030400233181505146,0.03082392222369201,-0.9862545383059264,0.3378382536311202
Entity_20190_Herndon City,6.564748744608551e-13,3775.144066435895,1.7389399262863932e-16,0.9999999999999998
Entity_20191_Herndon City,0.015535810712633354,0.03082392222369202,0.5040179701949854,0.6207179728645773
Entity_20194_Herndon City,-0.5730256788077349,0.0349390816156181,-16.400708098509007,7.449374450629875e-12
Entity_22201_Arlington County,1.2636593616389966,0.16729200819911338,7.553614636121594,7.904469290220817e-07
Entity_22202_Arlington County,0.3878490601303722,0.16729200819911344,2.318395626339475,0.033145629929887566
Entity_22203_Arlington County,0.5673724704679726,0.1672920081991134,3.3915097115259534,0.0034709694455701268
Entity_22204_Arlington County,0.9039749171976719,0.16729200819911347,5.403575023869325,4.752637031790741e-05
Entity_22205_Arlington County,0.9973306030071646,0.1672920081991135,5.9616153439925625,1.546782652872558e-05
Entity_22206_Arlington County,0.055848610102270345,0.1672920081991135,0.33383907996249573,0.7425836674477599
Entity_22207_Arlington County,0.9553123110811937,0.16729200819911344,5.71044798472481,2.551042811571591e-05
Entity_22209_Arlington County,0.0,3775.144066435895,0.0,1.0
Entity_22213_Arlington County,-0.06531809298397555,0.1667896846482636,-0.39161950046084915,0.7002048095633446
