Five-Digit ZIP Code,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base,Location,Quarter,ln_HPI,Entity,ln_HighPayJobs,HighPayJobs,AvgWage,ln_Permits_lag1,TotalPermits,PermitsPer1000Households,PermitShare,RegionalHouseholds,TotalPermits_Statewide,InterestRate,Time_FE,Entity_FE
20170,2021,8.31,854.87,283.8,234.14,Herndon City,2021Q4,6.750949410592851,20170_Herndon City,17.577122216869288,43017700,198176.66815942677,2.470050254872163,1375.1378989578445,11.823041002130896,0.03491261041326913,116310.0,39388.0,0.08,2021,20170_Herndon City
20170,2022,10.36,943.42,313.19,258.39,Herndon City,2022Q4,6.849511570540646,20170_Herndon City,17.63724555136531,45683400,198123.9092495637,2.470050254872163,1413.9591206549592,11.743748977624431,0.035615201648698,120401.0,39701.0,1.6833333333333333,2022,20170_Herndon City
20170,2023,7.42,1013.39,336.42,277.55,Herndon City,2023Q4,6.921056425221265,20170_Herndon City,17.721155265227523,49682100,197307.0707070707,2.463321097122641,1293.2595732175027,10.608140078232683,0.03582833480766574,121912.0,36096.0,5.024166666666667,2023,20170_Herndon City
20170,2024,6.09,1075.12,356.91,294.46,Herndon City,2024Q4,6.980187562238808,20170_Herndon City,17.78901805071265,53170700,198386.93753559902,2.3616216383179247,1198.307985343143,9.874157330733391,0.035183299138058746,121358.0,34059.0,5.1433333333333335,2024,20170_Herndon City
20171,2021,5.96,887.23,289.52,230.94,Herndon City,2021Q4,6.788104249711538,20171_Herndon City,17.577122216869288,43017700,198176.66815942677,2.470050254872163,1375.1378989578445,11.823041002130896,0.03491261041326913,116310.0,39388.0,0.08,2021,20171_Herndon City
20171,2022,5.03,931.88,304.09,242.57,Herndon City,2022Q4,6.837204051031101,20171_Herndon City,17.63724555136531,45683400,198123.9092495637,2.470050254872163,1413.9591206549592,11.743748977624431,0.035615201648698,120401.0,39701.0,1.6833333333333333,2022,20171_Herndon City
20171,2023,2.18,952.18,310.72,247.85,Herndon City,2023Q4,6.8587540925490735,20171_Herndon City,17.721155265227523,49682100,197307.0707070707,2.463321097122641,1293.2595732175027,10.608140078232683,0.03582833480766574,121912.0,36096.0,5.024166666666667,2023,20171_Herndon City
20171,2024,11.05,1057.43,345.06,275.25,Herndon City,2024Q4,6.963596714876095,20171_Herndon City,17.78901805071265,53170700,198386.93753559902,2.3616216383179247,1198.307985343143,9.874157330733391,0.035183299138058746,121358.0,34059.0,5.1433333333333335,2024,20171_Herndon City
20190,2021,12.17,726.65,308.56,268.96,Herndon City,2021Q4,6.588444931072179,20190_Herndon City,17.577122216869288,43017700,198176.66815942677,2.470050254872163,1375.1378989578445,11.823041002130896,0.03491261041326913,116310.0,39388.0,0.08,2021,20190_Herndon City
20191,2021,5.93,873.14,294.49,254.89,Herndon City,2021Q4,6.7720959095343805,20191_Herndon City,17.577122216869288,43017700,198176.66815942677,2.470050254872163,1375.1378989578445,11.823041002130896,0.03491261041326913,116310.0,39388.0,0.08,2021,20191_Herndon City
20191,2022,2.42,894.23,301.61,261.05,Herndon City,2022Q4,6.795963012778596,20191_Herndon City,17.63724555136531,45683400,198123.9092495637,2.470050254872163,1413.9591206549592,11.743748977624431,0.035615201648698,120401.0,39701.0,1.6833333333333333,2022,20191_Herndon City
20191,2023,11.17,994.13,335.3,290.21,Herndon City,2023Q4,6.901867982813249,20191_Herndon City,17.721155265227523,49682100,197307.0707070707,2.463321097122641,1293.2595732175027,10.608140078232683,0.03582833480766574,121912.0,36096.0,5.024166666666667,2023,20191_Herndon City
20191,2024,21.86,1211.4,408.58,353.64,Herndon City,2024Q4,7.0995319945468465,20191_Herndon City,17.78901805071265,53170700,198386.93753559902,2.3616216383179247,1198.307985343143,9.874157330733391,0.035183299138058746,121358.0,34059.0,5.1433333333333335,2024,20191_Herndon City
20194,2021,6.26,515.73,287.45,240.7,Herndon City,2021Q4,6.245583372721512,20194_Herndon City,17.577122216869288,43017700,198176.66815942677,2.470050254872163,1375.1378989578445,11.823041002130896,0.03491261041326913,116310.0,39388.0,0.08,2021,20194_Herndon City
20194,2022,0.36,517.58,288.48,241.56,Herndon City,2022Q4,6.2491641025638,20194_Herndon City,17.63724555136531,45683400,198123.9092495637,2.470050254872163,1413.9591206549592,11.743748977624431,0.035615201648698,120401.0,39701.0,1.6833333333333333,2022,20194_Herndon City
20194,2024,,623.23,347.36,290.86,Herndon City,2024Q4,6.4349156320371925,20194_Herndon City,17.78901805071265,53170700,198386.93753559902,2.3616216383179247,1198.307985343143,9.874157330733391,0.035183299138058746,121358.0,34059.0,5.1433333333333335,2024,20194_Herndon City
22201,2021,0.88,1856.98,427.98,294.06,Arlington County,2021Q4,7.526706791235473,22201_Arlington County,17.799256837269212,53717900,191916.33466135457,2.470050254872163,1375.1378989578445,11.823041002130896,0.03491261041326913,116310.0,39388.0,0.08,2021,22201_Arlington County
22201,2022,13.67,2110.77,486.47,334.25,Arlington County,2022Q4,7.654808088809705,22201_Arlington County,17.89793097597797,59288800,194915.40303272146,2.470050254872163,1413.9591206549592,11.743748977624431,0.035615201648698,120401.0,39701.0,1.6833333333333333,2022,22201_Arlington County
22201,2023,2.87,2171.42,500.45,343.85,Arlington County,2023Q4,7.683136610402842,22201_Arlington County,18.032136172728453,67804300,194326.99184665998,2.463321097122641,1293.2595732175027,10.608140078232683,0.03582833480766574,121912.0,36096.0,5.024166666666667,2023,22201_Arlington County
22201,2024,6.85,2320.24,534.75,367.42,Arlington County,2024Q4,7.749425907585814,22201_Arlington County,18.10324024933631,72801000,195377.1164021164,2.3616216383179247,1198.307985343143,9.874157330733391,0.035183299138058746,121358.0,34059.0,5.1433333333333335,2024,22201_Arlington County
22202,2021,4.1,825.47,333.56,287.58,Arlington County,2021Q4,6.7159529210886655,22202_Arlington County,17.799256837269212,53717900,191916.33466135457,2.470050254872163,1375.1378989578445,11.823041002130896,0.03491261041326913,116310.0,39388.0,0.08,2021,22202_Arlington County
22202,2022,7.61,888.28,358.94,309.47,Arlington County,2022Q4,6.789287008606059,22202_Arlington County,17.89793097597797,59288800,194915.40303272146,2.470050254872163,1413.9591206549592,11.743748977624431,0.035615201648698,120401.0,39701.0,1.6833333333333333,2022,22202_Arlington County
22202,2023,3.45,918.94,371.33,320.15,Arlington County,2023Q4,6.8232208318674,22202_Arlington County,18.032136172728453,67804300,194326.99184665998,2.463321097122641,1293.2595732175027,10.608140078232683,0.03582833480766574,121912.0,36096.0,5.024166666666667,2023,22202_Arlington County
22202,2024,2.45,941.46,380.43,327.99,Arlington County,2024Q4,6.8474318617990315,22202_Arlington County,18.10324024933631,72801000,195377.1164021164,2.3616216383179247,1198.307985343143,9.874157330733391,0.035183299138058746,121358.0,34059.0,5.1433333333333335,2024,22202_Arlington County
22203,2021,3.95,973.3,369.31,295.3,Arlington County,2021Q4,6.880692359432448,22203_Arlington County,17.799256837269212,53717900,191916.33466135457,2.470050254872163,1375.1378989578445,11.823041002130896,0.03491261041326913,116310.0,39388.0,0.08,2021,22203_Arlington County
22203,2022,8.28,1053.87,399.88,319.75,Arlington County,2022Q4,6.960224381835903,22203_Arlington County,17.89793097597797,59288800,194915.40303272146,2.470050254872163,1413.9591206549592,11.743748977624431,0.035615201648698,120401.0,39701.0,1.6833333333333333,2022,22203_Arlington County
22203,2023,0.83,1062.66,403.22,322.41,Arlington County,2023Q4,6.9685304776965955,22203_Arlington County,18.032136172728453,67804300,194326.99184665998,2.463321097122641,1293.2595732175027,10.608140078232683,0.03582833480766574,121912.0,36096.0,5.024166666666667,2023,22203_Arlington County
22203,2024,10.65,1175.86,446.17,356.76,Arlington County,2024Q4,7.069755073752794,22203_Arlington County,18.10324024933631,72801000,195377.1164021164,2.3616216383179247,1198.307985343143,9.874157330733391,0.035183299138058746,121358.0,34059.0,5.1433333333333335,2024,22203_Arlington County
22204,2021,6.77,1418.32,386.32,325.16,Arlington County,2021Q4,7.257228351590125,22204_Arlington County,17.799256837269212,53717900,191916.33466135457,2.470050254872163,1375.1378989578445,11.823041002130896,0.03491261041326913,116310.0,39388.0,0.08,2021,22204_Arlington County
22204,2022,4.21,1478.07,402.59,338.86,Arlington County,2022Q4,7.298492461685689,22204_Arlington County,17.89793097597797,59288800,194915.40303272146,2.470050254872163,1413.9591206549592,11.743748977624431,0.035615201648698,120401.0,39701.0,1.6833333333333333,2022,22204_Arlington County
22204,2023,2.65,1517.28,413.27,347.85,Arlington County,2023Q4,7.324674537135417,22204_Arlington County,18.032136172728453,67804300,194326.99184665998,2.463321097122641,1293.2595732175027,10.608140078232683,0.03582833480766574,121912.0,36096.0,5.024166666666667,2023,22204_Arlington County
