Variable,Coefficient,Std_Error,t_statistic,p_value
const,13.99258908348321,6.025719592035344,2.322144080846093,0.026964896316163722
ln_HighPayJobs,-0.2967709322521889,0.3171273034418319,-0.9358100959182256,0.3566042897014796
ln_Permits_lag1,-0.8035813513115729,0.25384144993856206,-3.165682166982839,0.0034594547235067274
InterestRate,0.03078940604046944,0.013265379430390802,2.3210347055683407,0.027032447597405973
Entity_20171_Herndon City,-0.013511465106439899,0.02996987808252591,-0.45083483720668943,0.6552463245612596
Entity_20190_Herndon City,-0.2053420366656419,0.04901565117345494,-4.189315693042298,0.00021526207219846327
Entity_20191_Herndon City,0.016938482769857672,0.029969878082525908,0.5651835727598018,0.576016762496828
Entity_20194_Herndon City,-0.5544547782867916,0.03271962097298234,-16.945635731679868,0.0
Entity_22201_Arlington County,0.8603003732400578,0.09281772804592267,9.26870751258223,1.903248669776758e-10
Entity_22202_Arlington County,0.0007541795718862519,0.09281772804592267,0.008125382809554578,0.9935690195209173
Entity_22203_Arlington County,0.1765815969110307,0.09281772804592267,1.902455496687711,0.06643695949921757
Entity_22204_Arlington County,0.5231674299977241,0.09281772804592267,5.636503295349794,3.4633803620565118e-06
Entity_22205_Arlington County,0.6031938918095762,0.09281772804592267,6.498692701367769,2.993864782752098e-07
Entity_22206_Arlington County,-0.31641231467281716,0.09281772804592267,-3.4089642284313233,0.001827181750671203
Entity_22207_Arlington County,0.560750444563751,0.09281772804592267,6.0414153240888755,1.0907392598014098e-06
Entity_22209_Arlington County,-1.3687336634116989,0.09295039043072956,-14.725421346473368,1.5543122344752192e-15
Entity_22213_Arlington County,-0.4393742477715931,0.09321329255364968,-4.713643684656967,4.872520512355649e-05
