,HPI,ln_HPI,HighPayJobs,ln_HighPayJobs,TotalPermits
count,48.0,48.0,48.0,48.0,48.0
mean,1119.2052083333333,6.922456264399034,57799183.333333336,17.857953454903694,1323.57774144921
std,483.5096017088353,0.46644158623317755,9927180.28628029,0.17270217324510442,84.14095026821
min,212.54,5.359130205944549,43017700.0,17.577122216869288,1198.307985343143
25%,800.765,6.684075923584544,52298550.0,17.77205235434137,1269.5216762489129
50%,983.7149999999999,6.891280171122848,53717900.0,17.799256837269212,1375.1378989578445
75%,1487.8725,7.305037980548121,67804300.0,18.032136172728453,1384.843204382123
max,2320.24,7.749425907585814,72801000.0,18.10324024933631,1413.9591206549592
